building_ID,CVRMSE,NRMSE,MAE,Avg_Test_Loss
energy,0.6439812,64.398125,1.0477394,0.10556342452764511
energy,0.98693436,98.693436,1.7511473,0.11613597720861435
energy,1.4067289,140.67288,1.515472,0.1847553700208664
energy,1.2143025,121.43026,2.679893,0.13933025300502777
energy,0.9347544,93.47544,0.752183,0.1473163664340973
energy,0.5351383,53.51383,1.5888542,0.1716778576374054
energy,9.942656,994.2654,0.063918635,0.0555596798658371
energy,1.7310694,173.10693,0.89886,0.15476450324058533
energy,1.3194996,131.94995,0.71348923,0.09997887164354324
energy,2.074064,207.4064,0.6196232,0.10386870056390762
energy,0.9652129,96.52129,1.1571932,0.14043016731739044
energy,1.9425623,194.25623,1.1726894,0.12920811772346497
energy,1.2175539,121.75538,1.1265497,0.18957385420799255
energy,0.7346231,73.46231,2.1835167,0.17203158140182495
energy,2.0007246,200.07246,1.6881703,0.13809192180633545
